Date,Time,RSSI(dB),RxBt(V),mAh(mAh),Volt(V),Amps(A),RPM(rpm),FET(@C),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-07-12,00:25:07.620,84,8.1,7,50.20,0.6,0,19,5,6,-1024,-6,994,204,-24,0,0,-1024,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:07.670,84,8.1,7,50.20,0.6,0,19,5,6,-1024,-6,994,204,-24,0,0,-1024,593,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:07.770,84,8.1,7,50.20,0.6,0,19,4,6,-1024,-6,994,204,-24,0,0,-1022,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:07.870,84,8.1,7,50.20,0.6,0,19,4,6,-1024,-6,994,204,-24,0,0,-1022,593,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:07.970,81,8.1,7,50.20,0.7,0,19,4,6,-1024,-6,994,204,-24,0,0,-1022,593,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:08.070,81,8.1,7,50.20,0.7,0,19,4,6,-1024,-6,994,204,-24,0,0,-1024,593,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:08.170,81,8.1,7,50.20,3.6,0,19,4,6,-1024,-4,994,204,-24,0,0,-1024,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:08.280,81,8.1,7,50.20,0.5,0,19,4,6,-1024,-6,994,204,-24,0,0,-1024,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:08.380,77,8.1,7,50.20,0.5,0,19,4,6,-1024,-6,994,204,-24,0,0,-1024,593,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:08.480,77,8.1,7,50.20,0.5,9,19,4,6,-1024,-4,994,204,-24,0,0,-1024,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:08.580,77,8.1,7,50.20,0.5,9,19,4,6,-1024,-6,994,204,-24,0,0,-1024,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:08.680,77,8.1,7,50.20,0.8,38,19,4,6,-1024,-4,994,204,-24,0,0,-1024,593,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:08.780,82,8.1,8,50.20,0.8,38,19,4,6,-1024,-6,994,204,-24,0,0,-1022,593,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:08.880,82,8.1,8,50.20,0.8,41,19,4,6,-1024,-6,994,204,-24,0,0,-1022,593,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:08.980,82,8.1,8,50.20,0.9,43,19,4,6,-1024,-6,994,204,-24,0,0,-1024,593,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:09.080,82,8.1,8,50.20,0.9,43,19,4,6,-1024,-6,994,204,-24,0,0,-1022,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:09.180,82,8.1,8,50.20,1.0,46,19,4,6,-1024,-6,994,204,-24,0,0,-1022,593,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:09.280,79,8.1,8,50.20,0.7,46,19,4,6,-1024,-4,994,204,-24,0,0,-1024,593,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:09.380,79,8.1,8,50.20,0.7,48,19,20,6,-1024,-6,994,204,-24,0,0,-1024,593,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:09.490,79,8.1,8,50.20,0.6,50,19,30,6,-929,-6,994,204,-24,0,0,-1024,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:09.590,79,8.1,8,50.20,0.6,50,19,8,6,-207,-6,994,204,-24,0,0,-1024,593,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:09.690,84,8.1,8,50.20,0.6,53,19,5,6,110,-4,994,204,-24,0,0,-1022,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:09.790,84,8.1,8,50.20,1.1,53,19,3,6,84,-6,994,204,-24,0,0,-1024,593,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:09.890,84,8.1,8,50.20,1.1,54,19,3,6,17,-6,994,204,-24,0,0,-1024,593,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:09.990,84,8.1,8,50.20,0.8,58,19,4,6,15,-6,994,204,-24,0,0,-1024,593,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:10.090,81,8.1,8,50.20,0.8,58,19,4,6,14,-6,994,204,-24,0,0,-1024,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:10.190,81,8.1,8,50.20,0.8,63,19,4,6,14,-6,994,204,-24,0,0,-1024,593,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:10.290,81,8.1,8,50.20,0.7,63,19,4,23,14,-8,994,204,-24,0,0,-1024,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:10.390,81,8.1,8,50.20,0.7,65,19,4,10,14,-9,994,204,-24,0,0,-1024,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:10.490,81,8.1,8,50.20,0.8,69,19,4,8,13,-7,994,204,-24,0,0,-1024,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:10.590,86,8.2,8,50.20,0.8,69,19,4,6,14,-6,994,204,-24,0,0,-1024,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:10.690,86,8.2,8,50.20,0.8,74,19,41,20,-59,-6,994,204,-24,0,0,-1022,593,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:10.790,86,8.2,8,50.20,1.0,74,19,-31,23,-129,-6,994,204,-24,0,0,-1024,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:10.890,86,8.2,8,50.20,1.0,82,19,4,8,-130,-6,994,204,-24,0,0,-1022,593,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:11.000,91,8.2,8,50.20,1.2,82,19,4,-6,-149,-6,994,204,-24,0,0,-1022,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:11.100,91,8.2,8,50.20,1.2,87,19,4,6,-164,-6,994,204,-24,0,0,-1022,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:11.200,91,8.2,8,50.20,1.1,93,19,4,6,-163,-6,994,204,-24,0,0,-1024,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:11.300,91,8.2,8,50.20,1.1,93,19,4,6,-140,-6,994,204,-24,0,0,-1024,593,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:11.400,91,8.2,8,50.20,1.1,103,19,-11,11,-108,-9,994,204,-24,0,0,-1024,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:11.500,90,8.2,8,50.20,1.4,113,19,-10,9,-103,-7,994,204,-24,0,0,-1024,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-12,00:25:11.600,90,8.2,8,50.20,1.4,113,19,4,8,-102,-7,994,204,-24,0,0,-1024,594,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
