Date,Time,RSSI(dB),mAh(mAh),Volt(V),Amps(A),RPM(rpm),FET(@C),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-05-14,08:39:38.130,93,3,25.00,0.2,0,24,0,4,-1024,-1,619,1023,629,0,0,-1,1024,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,8.0
2020-05-14,08:39:38.190,93,3,25.00,0.3,0,24,0,4,-1024,-1,619,1023,629,0,0,0,1024,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,8.0
2020-05-14,08:39:38.300,93,3,25.00,0.3,0,24,1,4,-1024,-1,619,1023,629,0,0,0,1024,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,8.0
2020-05-14,08:39:38.420,93,3,25.00,0.3,0,24,1,4,-1024,-1,619,1023,629,0,0,-1,1024,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,8.0
2020-05-14,08:39:38.530,92,3,25.00,0.2,0,24,88,4,-916,-1,619,1023,629,0,0,0,1024,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,8.0
2020-05-14,08:39:38.640,92,3,25.00,0.2,122,24,1,4,-318,-2,619,1023,629,0,0,0,1024,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,8.0
2020-05-14,08:39:38.760,92,3,25.00,0.3,107,24,1,4,-219,-1,619,1023,629,0,0,0,1024,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,8.0
2020-05-14,08:39:38.870,92,3,25.00,0.9,107,24,1,4,-216,-1,619,1023,629,0,0,-1,1024,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,8.0
2020-05-14,08:39:39.000,96,3,25.00,0.9,107,24,1,4,-215,-1,619,1023,629,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:39:39.120,96,3,25.00,0.6,0,24,1,4,-215,-1,619,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:39:39.240,96,3,25.00,0.6,0,24,0,4,-215,-1,619,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:39:39.350,96,3,25.00,0.6,0,24,1,4,-215,-1,619,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:39:39.470,100,3,25.00,1.0,136,24,1,3,-215,-1,619,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:39:39.590,100,3,25.00,0.8,164,24,0,4,-215,-1,619,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:39:39.710,100,3,25.00,0.5,164,24,1,4,-215,-1,619,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:39:39.820,97,3,25.00,0.5,195,24,1,4,-215,-1,618,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:39:39.950,97,3,25.00,0.5,222,24,0,4,-215,-1,618,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:39:40.060,97,3,25.00,0.6,250,24,1,4,-215,-1,619,1023,629,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:39:40.180,97,3,25.00,0.6,250,24,1,4,-215,-1,619,1023,629,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:39:40.290,91,3,25.00,0.7,271,25,1,3,-215,-1,619,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:39:40.410,91,3,25.00,0.7,299,25,1,3,-215,-1,619,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
