Date,Time,RSSI(dB),RxBt(V),mAh(mAh),Volt(V),Amps(A),RPM(rpm),FET(@C),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-08-09,00:23:45.240,83,8.2,47,50.00,0.6,0,23,3,5,414,-3,1024,204,-22,0,0,-977,1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:45.300,84,8.2,47,50.00,0.6,0,23,3,5,414,-3,1024,204,-22,0,0,-976,1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:45.410,84,8.2,47,50.00,0.7,0,23,3,5,414,-3,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:45.650,84,8.2,47,50.00,0.6,66,23,2,5,414,-3,1024,204,-22,0,0,-976,1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:45.760,78,8.2,47,50.00,0.7,0,23,3,5,415,-3,1024,204,-22,0,0,-977,1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:45.870,78,8.2,47,50.00,0.7,0,23,3,5,415,-3,1024,204,-22,0,0,-976,1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:45.980,78,8.2,47,50.00,1.1,0,23,3,5,415,-3,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:46.200,84,8.2,48,50.00,1.5,0,23,3,4,414,-3,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:46.310,84,8.2,48,50.00,0.8,32,23,3,4,414,-3,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:46.430,84,8.2,48,50.00,0.7,41,23,3,5,414,-3,1024,204,-22,0,0,-977,1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:46.540,84,8.2,48,50.00,0.7,41,23,3,5,414,-3,1024,204,-22,0,0,-977,1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:46.750,84,8.2,48,50.00,0.9,48,23,3,5,414,-3,1024,204,-22,0,0,-977,1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:46.870,84,8.2,48,50.00,0.9,48,23,3,5,414,-3,1024,204,-22,0,0,-977,1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:46.980,84,8.2,48,50.00,0.8,49,23,3,5,414,-3,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:47.090,83,8.2,48,50.00,0.8,53,23,3,5,414,-3,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:47.310,83,8.2,48,50.00,0.9,54,23,3,5,414,-3,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:47.420,83,8.2,48,50.00,0.7,58,23,3,5,414,-3,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:47.530,85,8.2,48,50.00,0.7,58,23,3,5,414,-3,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:47.650,85,8.2,48,50.00,1.1,59,23,2,5,414,-3,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:47.870,85,8.2,48,50.00,0.5,63,23,2,5,414,-3,1024,204,-22,0,0,-976,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:47.980,83,8.2,48,50.00,0.9,67,23,2,5,414,-3,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:48.090,83,8.2,48,50.00,1.3,71,23,3,5,414,-3,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:48.200,83,8.2,48,50.00,1.3,71,23,3,4,414,-3,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:48.420,88,8.2,48,50.00,1.0,82,23,3,4,414,-3,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:48.540,88,8.2,48,50.00,1.0,82,23,2,5,414,-3,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:48.650,88,8.2,48,50.00,1.5,88,23,2,5,414,-3,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:48.760,88,8.2,48,50.00,1.2,98,23,2,5,350,-3,1024,204,-22,0,0,-976,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:48.910,86,8.2,48,50.00,1.2,98,23,2,5,282,-3,1024,204,-22,0,0,-977,1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:49.020,86,8.2,48,50.00,1.2,107,23,2,5,281,-3,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:49.130,86,8.2,48,50.00,1.2,117,23,2,4,281,-3,1024,204,-22,0,0,-977,1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:49.240,87,8.2,48,50.00,1.2,117,23,2,5,281,-6,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:49.370,87,8.2,48,50.00,1.7,127,23,2,6,281,-4,1024,204,-22,0,0,-976,1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:49.480,87,8.2,48,50.00,1.5,142,23,2,5,281,-4,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:49.600,87,8.2,49,50.00,2.1,156,23,2,6,281,-4,1024,204,-22,0,0,-976,1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:49.710,86,8.2,49,50.00,2.1,156,23,2,5,281,-4,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:49.830,86,8.2,49,50.00,1.7,175,23,2,5,281,-4,1024,204,-22,0,0,-977,1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:49.940,86,8.2,49,50.00,2.5,175,23,2,5,280,-6,1024,204,-22,0,0,-977,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-09,00:23:50.050,86,8.2,49,50.00,2.5,195,23,2,6,280,-6,1024,204,-22,0,0,-977,1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
