Date,Time,RSSI(dB),mAh(mAh),Volt(V),Amps(A),RPM(rpm),FET(@C),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-05-22,18:22:49.150,93,3,25.00,0.3,0,25,0,3,-331,-1,1024,614,987,0,0,-1024,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-05-22,18:22:49.210,93,3,25.00,0.3,0,25,0,3,-331,-1,1024,614,987,0,0,-1024,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-05-22,18:22:49.320,93,3,25.00,0.2,0,25,28,3,-331,-1,1024,614,987,0,0,-1024,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-05-22,18:22:49.430,93,3,25.00,0.2,0,25,-28,3,78,-1,1024,614,987,0,0,-1024,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-05-22,18:22:49.550,101,3,25.00,0.2,0,25,-472,3,36,-1,1024,614,987,0,0,-1024,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-05-22,18:22:49.660,101,3,25.00,0.5,107,25,9,3,34,-1,1024,614,987,0,0,-1024,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-05-22,18:22:49.780,101,3,25.00,0.5,107,25,389,3,32,-1,1024,614,987,0,0,-1024,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-05-22,18:22:49.890,101,3,25.00,0.6,107,25,12,3,31,-1,1024,614,987,0,0,-1024,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-05-22,18:22:50.010,97,3,24.90,0.0,71,25,1,3,31,-1,1024,614,987,0,0,-1024,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-05-22,18:22:50.120,97,3,24.90,1.4,71,25,1,3,31,-1,1024,614,987,0,0,-1024,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-05-22,18:22:50.240,97,3,24.90,1.4,16,25,1,3,31,-1,1024,614,987,0,0,-1024,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-05-22,18:22:50.350,97,3,24.90,0.9,114,25,1,3,31,-1,1024,614,987,0,0,-1024,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-05-22,18:22:50.470,98,4,25.00,0.8,114,25,1,3,31,-1,1024,614,987,0,0,-1024,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-05-22,18:22:50.580,98,4,25.00,0.8,164,25,1,3,31,-1,1024,614,987,0,0,-1024,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-05-22,18:22:50.690,98,4,25.00,0.6,198,25,1,3,32,-1,1024,614,987,0,0,-1024,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-05-22,18:22:50.810,97,4,24.90,0.6,198,25,1,3,65,-1,1024,614,987,0,0,-1024,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-05-22,18:22:50.930,97,4,24.90,0.8,224,25,1,2,66,-1,1024,614,987,0,0,-1024,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
