Date,Time,RSSI(dB),Volt(V),Amps(A),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-02-01,12:55:06.990,86,22.60,13.7,2725,42,196,313,-73,1024,-205,205,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:07.540,84,22.50,13.9,2628,38,103,266,-6,1024,-205,205,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:08.090,90,22.70,13.3,2626,4,93,258,-4,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:08.640,81,22.70,12.7,2458,8,646,601,-7,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:09.190,87,21.70,24.2,2392,13,741,-113,-14,1024,-205,205,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:09.740,74,22.10,17.9,2478,-102,507,147,-9,1024,-205,205,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:10.290,88,22.30,16.3,2502,0,230,290,-4,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:10.840,76,22.00,19.3,2470,-218,150,695,534,1024,-205,204,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:11.390,79,21.50,24.6,2388,-480,3,443,-397,1024,-205,205,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:11.890,83,22.40,14.4,2749,-103,252,-443,-85,1024,-205,205,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:12.440,91,22.40,14.0,2682,-564,6,-404,-6,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:12.990,90,22.30,15.3,2574,-797,-9,-127,-513,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:13.540,66,22.00,18.5,2502,-830,-83,-74,-4,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:14.040,76,22.50,13.3,2619,-256,406,17,217,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:14.590,86,22.60,12.5,2644,-89,448,145,-6,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:15.140,87,22.60,12.6,2499,-67,336,676,874,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:15.640,82,21.70,23.3,2423,-806,-177,-333,453,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:16.190,79,22.30,14.4,2514,-987,654,-190,-510,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:16.740,92,22.50,12.6,2623,-318,-535,110,92,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:17.290,90,22.30,14.2,2441,-813,459,615,421,1024,-205,204,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:17.840,83,22.00,18.7,2459,-148,-268,188,-12,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:18.340,88,22.40,13.7,2570,-12,-279,-228,-91,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:18.890,80,22.10,15.2,2440,-845,258,-526,482,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:19.390,91,21.80,18.2,2564,-536,535,-172,-112,1024,-205,204,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:19.940,91,22.40,13.3,2548,68,582,694,-13,1024,-205,204,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:20.440,92,21.70,27.4,2378,-19,727,597,-49,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:20.990,83,21.90,16.9,2508,-817,406,-707,506,1024,-205,204,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:21.540,82,21.30,21.6,2536,-539,46,-114,-246,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:22.090,89,22.20,14.5,2662,2,395,131,13,1024,-205,205,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:22.590,72,22.20,14.1,2647,4,377,697,349,1024,-205,205,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:23.090,79,21.10,28.2,2373,-18,175,-113,982,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:23.640,90,21.70,21.3,2479,-423,-191,-28,-846,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:24.140,81,22.10,16.6,2582,-393,524,406,878,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:24.640,80,22.20,17.1,2527,-905,-624,-105,162,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:25.190,81,22.20,14.2,2589,-979,434,-186,598,1024,-205,205,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:25.690,87,22.40,13.4,2641,-797,451,388,-324,1024,-205,205,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:26.190,89,22.10,16.0,2477,-198,-239,275,223,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:26.740,88,22.30,14.0,2574,-70,-769,106,-7,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:27.290,76,22.40,12.6,2635,3,3,-98,-4,1024,-205,205,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:27.790,88,22.50,11.4,2620,-56,-361,-533,67,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:28.290,85,22.10,17.6,2362,-790,335,-536,-221,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:28.790,73,21.80,18.3,2526,-831,-110,-9,-205,1024,-205,205,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:29.340,84,22.20,12.2,2674,-304,283,236,-24,1024,-205,205,0,0,-1014,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:29.890,96,22.10,12.6,2501,-116,403,417,7,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:30.390,78,20.70,19.5,2271,-59,211,606,549,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:30.890,88,21.50,21.9,2445,-163,-173,264,202,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:31.390,77,21.90,16.2,2487,-112,-268,-279,-19,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:31.940,92,21.90,16.7,2527,-467,-850,-102,118,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:32.440,87,21.50,21.2,2426,-932,267,-244,464,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:32.940,89,21.90,17.1,2522,-216,-264,13,-18,1024,-205,205,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:33.490,89,22.00,14.3,2540,37,8,590,-38,1024,-205,205,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:33.990,91,21.80,17.5,2334,5,-482,225,-4,1024,-205,204,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:34.490,66,21.80,21.9,2561,5,-554,2,-6,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:34.990,87,21.90,15.5,2560,4,-77,-521,-64,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:35.540,73,21.70,18.9,2485,-59,-119,26,-4,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:36.040,91,22.00,14.2,2575,4,-392,657,104,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:36.540,94,21.30,24.6,2462,3,-822,280,173,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:37.090,88,20.90,22.1,2491,2,-489,146,-150,1024,-205,205,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:37.590,89,21.90,15.4,2577,2,-508,-531,167,1024,-205,204,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:38.090,94,21.40,22.2,2412,-8,-392,-162,-6,1024,-205,205,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:38.590,81,21.90,15.4,2637,2,-714,309,42,1024,-205,205,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:39.090,93,21.50,21.1,2499,4,-908,267,132,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:39.640,94,21.60,20.3,2548,20,-518,65,-44,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:40.140,91,21.90,15.6,2511,-382,-472,-321,-142,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:40.640,88,21.80,16.9,2480,-96,8,-235,-789,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:41.140,81,21.30,25.2,2413,-101,12,-646,-571,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:41.640,93,20.70,31.5,2478,-84,-2,-703,-315,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:42.140,85,21.30,23.3,2386,11,-58,-387,771,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:42.640,90,20.50,34.3,2461,5,5,734,756,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
