Date,Time,RSSI(dB),Volt(V),Amps(A),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-12-05,15:45:04.290,101,24.70,0.2,0,-2,2,-1024,-1,804,-205,-830,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2019-12-05,15:45:04.800,102,24.70,0.2,0,49,302,-1024,100,803,-205,-829,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2019-12-05,15:45:05.320,102,24.70,0.2,0,0,2,-1024,-1,803,-205,-829,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2019-12-05,15:45:05.850,97,24.60,1.1,12,-2,1,-1024,1,803,-205,-829,-1,-1,-1,1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2019-12-05,15:47:52.390,68,24.70,0.2,0,-43,0,-1024,1,803,-205,-829,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2019-12-05,15:47:52.900,68,24.70,0.3,0,-3,0,-130,1,803,-205,-829,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2019-12-05,15:47:53.420,71,24.70,0.6,9,-3,0,-134,1,803,-205,-829,0,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2019-12-05,15:47:53.940,81,24.70,0.9,126,-3,0,-134,1,803,-205,-829,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2019-12-05,15:47:54.470,83,24.70,1.3,332,-3,0,-133,1,803,-205,-830,0,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2019-12-05,15:47:54.990,80,24.70,1.6,467,-2,0,-150,1,803,-205,-829,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2019-12-05,15:47:55.520,83,24.70,2.0,614,-3,103,-227,-4,803,-205,-829,0,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2019-12-05,15:47:56.040,83,24.70,2.2,782,-3,-2,-224,1,803,-205,-829,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
