Date,Time,RSSI(dB),RxBt(V),mAh(mAh),Amps(A),RPM(rpm),Cap(@C),FET(@C),Volt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-02-01,13:10:44.560,103,8.1,0,0.0,0,16,16,24.80,2,5,-320,-3,-224,-205,58,0,0,-2,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,13:10:45.060,92,8.1,0,0.0,27,16,16,24.80,3,5,-320,-3,-224,-205,58,0,0,-3,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,13:10:45.560,96,8.0,0,0.0,129,16,16,24.80,3,5,-73,-3,-223,-205,58,0,0,-3,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,13:10:46.060,97,8.0,0,0.0,197,16,16,24.80,3,5,-74,-3,-224,-205,58,0,0,-3,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,13:10:46.560,105,8.0,0,0.0,236,16,16,24.80,3,-10,-74,-3,-224,-205,58,0,0,-2,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,13:10:47.060,108,8.0,0,0.0,271,16,16,24.80,3,43,-74,-3,-224,-205,58,0,0,-3,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,13:10:47.560,104,8.1,0,0.0,300,16,16,24.80,3,5,-9,-3,-223,-205,58,0,0,-3,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,13:10:48.070,104,8.1,0,0.0,343,17,16,24.70,3,34,-9,-3,-223,-205,58,0,0,-2,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,13:10:48.570,101,8.1,0,0.0,396,17,16,24.70,5,19,10,-3,-223,-205,58,0,0,-2,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,13:10:49.070,101,8.1,0,0.0,444,17,17,24.69,-91,6,56,-4,-224,-205,58,0,0,-3,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-02-01,13:10:49.570,102,8.1,0,0.0,505,18,17,24.65,-7,9,12,-4,-224,-205,58,0,0,-3,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-02-01,13:10:50.070,104,8.1,0,0.0,567,18,16,24.68,43,27,19,-6,-224,-205,58,0,0,-3,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
