Date,Time,RSSI(dB),RxBt(V),A2(V),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-12-06,09:40:36.750,0,0.0,0.0,0,6,8,-1024,-7,721,-205,-1024,0,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,8.0
2019-12-06,09:42:03.880,78,8.3,0.0,0,54,5,-1024,-4,692,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:04.380,78,8.2,0.0,0,4,5,-158,-4,692,-205,-555,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:04.880,78,8.2,0.0,0,4,4,-157,-4,692,-205,-556,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:05.380,77,8.2,0.0,0,4,4,-157,-4,692,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:05.880,75,8.2,0.0,0,5,4,-158,-4,692,-205,-556,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:06.380,76,8.2,0.0,59,4,4,-157,-4,692,-205,-556,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:06.880,76,8.2,0.0,151,4,8,-158,-4,692,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:07.380,76,8.2,0.0,226,4,5,-158,-4,692,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:07.880,78,8.2,0.0,298,5,4,-157,-4,692,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:08.380,76,8.2,0.0,407,5,5,-158,-4,692,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:08.880,75,8.2,0.0,482,4,5,-158,-4,691,-205,-555,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:09.380,75,8.2,0.0,614,4,5,-157,-4,692,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:09.880,75,8.2,0.0,675,4,145,-107,-6,691,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:10.380,76,8.2,0.0,716,4,4,-101,-4,692,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:10.880,76,8.2,0.0,726,5,84,-61,108,692,-205,-556,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:11.380,75,8.2,0.0,788,2,17,-24,-2,691,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:11.880,76,8.2,0.0,770,-38,139,34,137,692,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:12.380,76,8.2,0.0,815,4,131,52,109,691,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:12.880,74,8.2,0.0,827,-81,134,70,126,691,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:13.380,76,8.1,0.0,897,4,187,93,65,691,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:13.880,74,8.1,0.0,975,4,40,173,180,691,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:14.380,78,8.1,0.0,1101,5,117,191,145,692,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:14.880,77,8.0,0.0,1219,4,93,192,128,692,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:15.380,77,7.9,0.0,1316,4,71,215,0,691,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:15.880,77,7.9,0.0,1416,5,71,278,-4,692,-205,-556,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:16.380,75,7.9,0.0,1455,4,73,299,79,692,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:16.880,74,8.0,0.0,1455,5,11,306,3,691,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:17.380,75,8.0,0.0,1439,5,65,319,34,692,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:17.880,76,8.0,0.0,1458,5,14,325,-1,691,-205,-556,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:18.380,76,8.0,0.0,1541,4,33,385,-3,692,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:18.880,78,8.0,0.0,1615,4,-3,459,-27,692,-205,-556,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:19.380,77,8.0,0.0,1696,-11,2,506,-39,692,-205,-556,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:19.880,80,8.0,0.0,1765,-96,5,449,-108,692,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:20.380,81,8.1,0.0,1869,-124,3,462,-8,692,-205,-555,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:20.880,78,8.1,0.0,1970,-132,20,406,49,692,-205,-555,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:21.380,79,8.1,0.0,2039,-162,-2,417,-4,692,-205,-556,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,09:42:21.880,85,8.1,0.0,2035,-161,33,451,-54,692,-205,-556,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
