Date,Time,RSSI(dB),Volt(V),Amps(A),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
1970-01-01,00:01:40.960,94,24.90,0.4,0,0,4,-107,-1,1024,614,838,-1017,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:01:41.480,88,24.90,0.3,52,2,4,-152,-1,1024,614,838,-1017,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:01:42.000,85,24.90,0.4,35,3,4,-152,-1,1024,614,838,-1017,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:01:42.520,90,24.90,1.0,175,2,3,-201,-2,1024,614,838,-1017,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:01:43.040,87,24.80,1.2,346,2,5,-201,-3,1024,614,838,-1017,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:01:43.560,88,24.80,1.5,487,2,10,-169,-2,1024,614,838,-1017,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:01:44.080,87,24.80,2.1,635,2,26,-157,-2,1024,614,838,-1017,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:01:44.600,85,24.80,2.3,765,3,-3,-146,-1,1024,614,838,-1017,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:01:45.120,89,24.70,2.5,889,3,19,-161,-58,1024,614,838,-1017,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:01:45.640,86,24.70,3.3,1015,2,47,-172,-50,1024,614,838,-1017,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:01:46.160,87,24.70,3.7,1162,2,4,-156,-1,1024,614,838,-1017,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:01:46.690,84,24.70,4.1,1278,0,12,-118,-3,1024,614,838,-1017,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:01:47.220,86,24.60,5.9,1500,2,79,-84,-88,1024,614,838,-1017,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:01:47.740,88,24.50,6.9,1695,2,-55,0,-76,1024,614,838,-1017,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:01:48.270,88,24.40,7.9,1855,-74,-68,153,-15,1024,614,838,-1017,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:01:48.800,90,24.30,8.9,1983,-123,-13,233,40,1024,614,838,-1017,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:01:49.330,85,24.30,10.2,2079,-193,-51,248,72,1024,614,838,-1017,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
