Date,Time,RSSI(dB),RxBt(V),Amps(A),RPM(rpm),FET(@C),mAh(mAh),Volt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-05-03,08:31:00.480,88,8.2,0.1,0,18,3,50.00,4,8,14,-8,1024,-1024,1024,0,0,-1,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:00.590,88,8.2,0.4,0,18,3,50.00,5,8,18,-8,1024,-1024,1024,0,0,-1,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:00.700,88,8.2,0.2,0,18,3,50.00,5,8,19,-8,1024,-1024,1024,0,0,-1,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:00.810,88,8.2,0.2,0,18,3,50.00,4,8,19,-8,1024,-1024,1024,0,0,-1,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:00.920,85,8.2,0.0,0,18,3,50.00,5,8,19,-8,1024,-1024,1024,0,0,-1,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:01.030,85,8.2,0.7,0,18,3,50.00,5,8,19,-8,1024,-1024,1024,0,0,-1,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:01.140,85,8.2,0.7,0,18,3,50.00,5,8,19,-8,1024,-1024,1024,0,0,-1,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:01.250,85,8.2,0.8,0,18,3,50.00,5,8,19,-8,1024,-1024,1024,0,0,-1,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:01.360,85,8.2,0.5,34,18,3,50.00,5,8,19,-8,1024,-1024,1024,0,0,-1,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:01.470,85,8.2,0.5,34,18,3,50.00,5,8,19,-8,1024,-1024,1024,0,0,-1,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:01.580,85,8.2,0.7,39,18,3,50.00,5,8,19,-8,1024,-1024,1024,0,0,0,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:01.690,85,8.2,0.3,41,18,3,50.00,5,8,19,-8,1024,-1024,1024,0,0,0,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:01.800,87,8.2,0.3,41,18,3,50.00,5,8,20,-8,1024,-1024,1024,0,0,0,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:01.910,87,8.2,0.3,43,18,3,50.00,5,8,19,-8,1024,-1024,1024,0,0,-1,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:02.020,87,8.2,0.4,43,18,3,50.00,5,8,19,-8,1024,-1024,1024,0,0,-1,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:02.140,87,8.2,0.4,44,18,3,50.00,5,8,19,-8,1024,-1024,1024,0,0,0,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:02.250,86,8.2,0.7,48,18,3,50.00,5,8,19,-8,1024,-1024,1024,0,0,-1,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:02.350,86,8.2,0.7,48,18,3,50.00,5,8,20,-8,1024,-1024,1024,0,0,-1,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:02.460,86,8.2,1.0,50,18,3,50.00,5,8,20,-8,1024,-1024,1024,0,0,0,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:02.580,86,8.2,0.3,51,18,3,50.00,4,8,20,-8,1024,-1024,1024,0,0,-1,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:02.690,91,8.2,0.8,51,18,3,50.00,4,8,20,-9,1024,-1024,1024,0,0,0,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-03,08:31:02.800,91,8.2,0.8,55,18,3,50.00,4,12,20,-14,1024,-1024,1024,0,0,-1,-596,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
