Date,Time,RSSI(dB),mAh(mAh),Volt(V),Amps(A),RPM(rpm),FET(@C),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-07-11,08:14:37.360,76,6,24.80,0.2,0,26,0,2,-1024,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:37.410,76,6,24.80,0.2,0,26,0,2,-1024,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:37.510,76,6,24.80,0.1,0,26,0,2,-1024,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:37.620,76,6,24.80,0.1,0,26,0,2,-1024,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:37.720,76,6,24.80,0.1,0,26,0,2,-1024,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:37.820,88,6,24.90,0.1,0,26,0,2,-1024,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:37.920,88,6,24.90,0.1,0,26,0,2,-1024,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:38.030,88,6,24.80,0.7,107,26,132,2,-970,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:38.130,88,6,24.80,0.7,107,26,1,2,-430,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:38.230,94,6,24.80,0.8,49,26,-1,2,-157,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:38.340,94,6,24.80,0.6,49,26,0,2,-130,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:38.440,94,6,24.80,0.6,122,26,0,2,-130,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:38.550,94,6,24.80,0.9,35,26,0,2,-130,0,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:38.650,95,6,24.80,0.9,35,26,0,2,-129,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:38.750,95,6,24.80,0.5,140,26,0,2,-130,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:38.850,95,6,24.80,0.6,140,26,0,2,-130,0,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:38.960,95,6,24.80,0.6,170,26,0,2,-130,0,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:39.060,95,6,24.80,0.5,194,26,0,2,-129,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:39.170,95,6,24.80,0.5,194,26,-88,1,-87,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:39.270,95,6,24.80,0.7,219,26,-224,1,-85,0,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:39.380,95,6,24.80,0.6,253,26,-196,2,-81,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:39.480,95,6,24.80,0.6,253,26,-192,2,-75,-1,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:39.580,95,6,24.80,0.6,284,26,-193,2,-70,-1,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:39.690,95,6,24.80,0.6,284,26,-146,1,-67,11,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:39.790,95,6,24.80,0.6,309,26,-74,2,-65,0,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:39.890,95,6,24.80,0.9,339,26,-8,2,-65,0,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:40.000,90,6,24.80,0.9,339,26,-3,2,-65,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:40.100,90,6,24.80,0.8,365,26,-1,2,-65,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:40.210,90,6,24.80,0.9,394,26,0,-27,-65,0,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:40.310,90,7,24.80,0.9,394,26,-51,1,-63,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:40.410,95,7,24.80,1.0,426,26,-50,2,34,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:40.520,95,7,24.80,1.0,426,26,-17,2,48,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:40.620,95,7,24.80,0.9,458,26,-2,2,51,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:40.730,95,7,24.80,1.3,488,26,-1,2,52,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:40.830,90,7,24.80,1.3,488,26,0,2,52,0,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:40.930,90,7,24.80,1.3,520,26,0,2,52,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:41.040,90,7,24.80,1.3,520,26,-1,2,65,0,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:41.140,90,7,24.80,1.2,552,27,-28,44,82,-1,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:41.250,88,7,24.80,1.4,552,27,-24,4,63,-1,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:41.350,88,7,24.80,1.4,581,27,-18,3,68,0,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:41.450,88,7,24.80,1.5,609,27,-16,2,70,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:41.560,88,7,24.80,1.4,609,27,-1,1,73,1,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:41.660,88,7,24.80,1.4,642,27,0,1,74,1,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:41.760,89,7,24.80,1.6,668,27,0,2,76,0,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:41.870,89,7,24.80,1.6,668,27,0,2,76,0,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:41.970,89,7,24.80,1.7,699,27,0,2,76,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:42.080,89,7,24.80,1.7,699,27,0,2,76,-1,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:42.180,87,7,24.80,1.7,730,27,0,71,76,37,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:42.290,87,7,24.80,2.0,761,27,0,5,76,37,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:42.390,87,7,24.80,2.0,761,27,0,2,76,6,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:42.490,87,7,24.80,1.8,791,27,0,2,76,3,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:42.590,90,7,24.80,2.1,826,27,0,2,76,-1,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:42.700,90,8,24.80,2.1,826,27,-16,2,76,-3,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:42.800,90,8,24.80,2.1,857,27,-68,2,76,-1,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:42.910,90,8,24.80,2.1,857,27,-102,3,118,-1,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:43.010,89,8,24.80,2.1,882,27,-52,32,133,5,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:43.120,89,8,24.80,2.0,909,27,-8,2,137,7,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:43.220,89,8,24.80,2.0,909,27,-3,2,138,4,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:43.320,89,8,24.80,2.1,939,27,-1,2,138,1,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:43.430,89,8,24.80,2.2,939,27,0,2,139,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:43.530,88,8,24.80,2.2,968,27,-42,2,133,0,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:43.640,88,8,24.80,2.3,999,27,-30,2,130,-19,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:43.740,88,8,24.80,2.3,999,27,-43,2,161,-3,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:43.840,88,8,24.80,2.4,1030,27,-24,2,162,-1,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:43.950,89,8,24.80,2.5,1051,27,-7,2,162,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:44.050,89,8,24.80,2.5,1051,27,-2,2,162,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:44.150,89,8,24.80,2.4,1076,27,-1,2,162,0,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:44.260,89,8,24.80,2.4,1076,27,0,2,162,0,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:44.370,88,8,24.80,2.7,1104,27,0,2,162,-1,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:44.470,88,9,24.80,3.0,1134,27,25,2,163,-1,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:44.570,88,9,24.80,3.0,1134,27,81,4,164,-1,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:44.680,88,9,24.80,2.9,1157,27,22,3,170,-1,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:44.780,91,9,24.80,2.9,1157,27,3,2,175,-1,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:44.890,91,9,24.80,3.2,1195,27,1,2,178,-1,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:44.990,91,9,24.80,3.2,1218,27,1,2,179,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:45.090,91,9,24.80,3.2,1218,27,1,2,179,14,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:45.200,87,9,24.80,3.1,1248,27,1,2,179,13,1024,-205,70,0,0,-1017,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-07-11,08:14:45.300,87,9,24.80,3.1,1271,27,0,2,179,0,1024,-205,70,0,0,-1017,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
