Date,Time,RSSI(dB),RxBt(V),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-12-06,12:28:48.370,83,8.1,0,0,1,-285,1,1021,204,-22,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,12:28:48.860,91,8.1,0,0,1,-285,0,1021,204,-22,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,12:28:49.360,91,8.1,0,0,1,-285,0,1021,204,-22,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,12:28:49.860,89,8.1,0,0,1,-285,0,1021,204,-22,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,12:28:50.360,91,8.1,0,0,1,-285,0,1021,204,-22,0,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,12:28:50.860,92,8.1,0,0,1,-285,1,1021,204,-22,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,12:28:51.360,92,8.1,0,0,1,163,0,1021,204,-21,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,12:28:51.860,90,8.1,34,-1,1,-107,0,1021,204,-22,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,12:28:52.360,92,8.1,60,0,0,266,29,1021,204,-22,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,12:28:52.860,90,8.1,99,0,1,265,1,1021,204,-22,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2019-12-06,12:28:53.360,89,8.1,131,44,139,314,0,1021,204,-22,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
