Date,Time,RSSI(dB),Volt(V),Amps(A),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-12-07,17:26:16.430,92,22.90,0.4,0,5,6,222,2,1024,-205,257,-1002,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,17:26:16.940,96,22.90,0.3,0,5,6,155,-4,1024,-205,257,-1002,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,17:26:17.470,93,22.90,0.9,7,3,6,-10,-4,1024,-205,257,-1002,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,17:26:18.000,91,22.80,0.9,76,5,-6,44,-6,1024,-205,257,-1004,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,17:26:18.540,93,22.80,1.2,256,111,6,118,-6,1024,-205,257,-1002,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,17:26:19.060,92,22.80,1.7,432,5,8,132,-6,1024,-205,257,-1002,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,17:26:19.580,89,22.80,1.9,557,5,8,132,-6,1024,-205,256,-1002,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,17:26:20.100,92,22.80,2.1,685,5,6,132,-6,1024,-205,257,-1002,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,17:26:20.630,90,22.80,2.6,809,4,6,135,-4,1024,-205,257,-1002,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,17:26:21.150,90,22.80,2.8,926,5,32,154,-6,1024,-205,257,-1004,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,17:26:21.680,90,22.80,3.5,1032,95,21,189,-4,1024,-205,257,-1004,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,17:26:22.200,91,22.70,3.9,1121,5,31,214,66,1024,-205,256,-1002,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,17:26:22.730,88,22.70,4.2,1200,5,-6,259,-4,1024,-205,256,-1004,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,17:26:23.260,89,22.60,5.5,1295,5,3,358,-81,1024,-205,257,-1004,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,17:26:23.780,88,22.50,7.5,1432,5,-23,420,-6,1024,-205,256,-1002,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
