Date,Time,RSSI(dB),RxBt(V),A2(V),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-02-23,09:22:55.270,0,0.0,0.0,0,5,8,-466,-6,1024,-205,88,0,0,-646,0,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,8.0
2020-02-23,09:22:55.360,0,0.0,0.0,0,5,8,-466,-4,1024,-205,89,0,0,-646,0,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,8.0
2020-02-23,09:22:55.470,0,0.0,0.0,0,5,8,-466,-6,1024,-205,88,0,0,-646,0,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,8.0
2020-02-23,09:22:55.570,0,0.0,0.0,0,5,8,-466,-4,1024,-205,88,0,0,-646,0,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,8.0
2020-02-23,09:22:55.670,0,0.0,0.0,0,5,8,-466,-6,1024,-205,88,0,0,-646,0,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,8.0
2020-02-23,09:22:55.770,0,0.0,0.0,0,5,8,-465,-4,1024,-205,88,0,0,-646,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-23,09:22:55.870,0,0.0,0.0,0,5,8,-465,-6,1024,-205,88,0,0,-646,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-23,09:22:55.970,0,0.0,0.0,0,5,8,-465,-6,1024,-205,88,0,0,-646,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-23,09:22:56.070,0,0.0,0.0,0,5,8,-465,-6,1024,-205,88,0,0,-646,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-23,09:22:56.170,0,0.0,0.0,0,5,8,-465,-4,1024,-205,88,0,0,-646,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-23,09:22:56.400,0,0.0,0.0,0,5,8,-465,-6,1024,-205,88,0,0,-646,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-23,09:22:56.500,0,0.0,0.0,0,5,8,-465,-4,1024,-205,89,0,0,-646,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-23,09:22:56.600,0,0.0,0.0,0,5,8,-466,-6,1024,-205,88,0,0,-646,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-23,09:22:56.700,0,0.0,0.0,0,5,6,-466,-4,1024,-205,89,0,0,-646,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-23,09:22:56.800,0,0.0,0.0,0,5,8,-465,-6,1024,-205,89,0,0,-646,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-23,09:22:56.900,0,0.0,0.0,0,5,8,-465,-6,1024,-205,88,0,0,-646,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-23,09:22:57.000,0,0.0,0.0,0,5,8,-465,-6,1024,-205,89,0,0,-646,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-23,09:22:57.100,0,0.0,0.0,0,5,6,-465,-4,1024,-205,89,0,0,-646,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-23,09:22:57.200,0,0.0,0.0,0,5,8,-465,-4,1024,-205,89,0,0,-646,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
