Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-02-06,14:59:24.380,6,9,-1024,-6,-1024,614,569,0,0,922,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-02-06,14:59:24.870,6,9,-1024,-6,-1024,614,569,0,0,922,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-02-06,14:59:25.370,5,8,-1024,-6,-1024,614,569,0,0,922,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-02-06,14:59:25.870,5,9,-1024,-6,-1024,614,569,0,0,918,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-02-06,14:59:26.370,5,8,-1024,-6,-1024,614,569,0,0,958,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-02-06,14:59:26.870,5,9,-1024,-6,-1024,614,569,0,0,992,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-02-06,14:59:27.370,5,8,-1024,-6,-1024,614,569,0,0,986,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-02-06,14:59:27.870,5,9,-1024,-6,-1024,614,569,0,0,985,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-02-06,14:59:28.370,5,8,-1024,-6,-1024,614,569,0,0,986,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-02-06,14:59:28.870,5,9,-1024,-6,-1024,614,569,0,0,985,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-02-06,14:59:29.370,5,9,-1024,-6,-1024,614,569,0,0,662,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-02-06,14:59:29.870,5,9,-1024,-6,-1024,614,569,0,0,-7,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-02-06,14:59:30.370,5,9,-1024,-6,-1024,614,569,0,0,-9,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
