Date,Time,RSSI(dB),RxBt(V),mAh(mAh),Volt(V),Amps(A),RPM(rpm),FET(@C),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-07-10,13:36:52.660,79,8.1,30,50.20,0.8,0,34,-4,-4,-1024,6,1024,-205,300,0,0,-2,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-07-10,13:36:52.770,79,8.1,30,50.20,0.7,0,34,-5,-4,-1024,6,1024,-205,300,0,0,-2,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-07-10,13:36:52.890,79,8.1,30,50.20,0.8,0,34,-5,-4,-1024,6,1024,-205,300,0,0,-2,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-07-10,13:36:53.000,79,8.1,30,50.20,0.8,0,34,-5,-4,-1024,6,1024,-205,300,0,0,-2,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-07-10,13:36:53.110,76,8.1,30,50.20,1.6,47,34,-5,-4,-284,6,1024,-205,300,0,0,-2,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-07-10,13:36:53.220,76,8.1,30,50.20,1.6,47,34,-12,-4,-72,6,1024,-205,300,0,0,-2,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-07-10,13:36:53.340,76,8.1,30,50.20,0.6,0,34,-3,-4,-72,6,1024,-205,300,0,0,-2,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-07-10,13:36:53.450,76,8.1,30,50.20,0.7,26,34,-4,-4,-72,6,1024,-205,300,0,0,-2,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-07-10,13:36:53.560,79,8.1,30,50.20,0.9,26,34,-4,-4,-72,6,1024,-205,300,0,0,-2,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-07-10,13:36:53.670,79,8.1,30,50.20,0.9,37,34,-4,-4,-72,6,1024,-205,300,0,0,-2,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
