Date,Time,RSSI(dB),RxBt(V),mAh(mAh),Volt(V),Amps(A),RPM(rpm),FET(@C),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-08-06,09:27:35.630,86,8.1,59,49.80,0.7,0,26,0,2,-1024,-1,1024,614,-23,0,0,-2,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.9
2020-08-06,09:27:35.680,86,8.1,59,49.80,0.7,0,26,0,2,-1024,-1,1024,614,-23,0,0,-2,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.9
2020-08-06,09:27:35.790,86,8.1,59,49.80,0.8,0,26,0,2,-1024,-1,1024,614,-23,0,0,-2,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.9
2020-08-06,09:27:35.900,91,8.1,59,49.80,0.8,0,26,0,2,-1024,-1,1024,614,-23,0,0,-2,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.9
2020-08-06,09:27:36.010,91,8.1,59,49.80,0.8,0,26,0,2,-1024,-1,1024,614,-23,0,0,-2,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.9
2020-08-06,09:27:36.120,91,8.1,59,49.80,2.2,0,26,0,2,-1024,-1,1024,614,-23,0,0,-2,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.9
2020-08-06,09:27:36.240,91,8.1,59,49.80,2.2,0,26,0,2,-1024,-1,1024,614,-23,0,0,-2,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.9
2020-08-06,09:27:36.350,89,8.1,59,49.80,0.1,0,26,0,2,-1024,-1,1024,614,-23,0,0,-1,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.9
2020-08-06,09:27:36.460,89,8.1,59,49.80,0.8,0,26,0,2,-1024,-1,1024,614,-23,0,0,-2,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.9
2020-08-06,09:27:36.570,89,8.1,59,49.80,0.8,0,26,0,2,-1024,-1,1024,614,-23,0,0,-2,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.9
2020-08-06,09:27:36.680,89,8.1,59,49.80,1.4,10,26,0,2,-1024,-1,1024,614,-23,0,0,-2,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.9
2020-08-06,09:27:36.800,78,8.1,59,49.80,1.4,10,26,0,2,-1024,-1,1024,614,-23,0,0,-2,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.9
