Date,Time,RSSI(dB),RxBt(V),A2(V),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
1970-01-01,00:05:42.480,81,8.0,0.0,497,8,6,97,-6,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:42.980,84,8.0,0.0,507,5,6,88,-6,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:43.480,82,8.0,0.0,538,6,6,74,-6,1024,614,492,-2,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:43.980,83,8.0,0.0,661,6,12,78,-4,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:44.480,83,8.0,0.0,732,6,6,126,-2,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:44.980,83,8.0,0.0,885,6,6,238,-4,1024,614,492,-2,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:45.480,82,8.0,0.0,984,-68,6,227,-4,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:45.980,81,8.0,0.0,1143,5,6,223,-4,1024,614,492,-1,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:46.480,79,8.0,0.0,1330,-9,3,239,-4,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:46.980,81,8.0,0.0,1442,5,32,295,-4,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:47.480,79,8.0,0.0,1503,5,5,391,0,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:47.980,80,8.0,0.0,1525,6,38,414,-6,1024,614,492,-2,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:48.480,78,8.0,0.0,1583,6,11,467,-4,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:48.980,71,8.0,0.0,1606,6,89,368,4,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:49.480,78,8.0,0.0,1615,6,29,397,-7,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:49.980,78,8.0,0.0,1637,4,-17,441,-47,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:50.490,79,8.0,0.0,1675,-209,28,373,-81,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:50.990,78,8.0,0.0,1685,-218,-51,407,-6,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:51.490,85,8.0,0.0,1687,-221,48,404,-14,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:51.990,84,8.0,0.0,1736,-554,13,392,-9,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:52.490,82,7.9,0.0,1702,-471,16,434,-68,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:52.990,87,7.9,0.0,1717,-262,-7,409,39,1024,614,492,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:53.490,74,7.9,0.0,1706,119,-46,375,76,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:53.990,72,7.9,0.0,1763,80,82,409,-8,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:54.490,77,7.9,0.0,1803,120,6,373,-10,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:54.990,78,7.9,0.0,1859,46,-45,355,-6,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:55.490,74,7.9,0.0,1860,8,5,349,-58,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:55.990,78,7.9,0.0,1855,6,23,391,-64,1024,614,492,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:56.490,76,7.9,0.0,1876,6,6,354,-3,1024,614,492,-2,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:56.990,75,7.9,0.0,1886,5,42,347,-77,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:57.490,76,7.9,0.0,1895,-176,73,348,-7,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:57.990,74,7.9,0.0,1885,-1,6,365,-4,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:58.490,73,7.9,0.0,1891,6,10,359,-8,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:58.990,73,7.9,0.0,1900,6,32,346,-75,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:59.490,73,7.9,0.0,1927,6,32,334,-68,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:59.990,70,7.9,0.0,1925,10,-5,298,-56,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:00.490,70,7.9,0.0,1934,9,9,340,38,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:00.990,71,7.9,0.0,1940,50,66,337,-1,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:01.490,69,7.9,0.0,1928,76,8,346,21,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:01.990,71,7.9,0.0,1923,104,27,312,5,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:02.490,76,7.9,0.0,1948,32,56,292,-6,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:02.990,76,7.9,0.0,1955,6,96,305,-32,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
