Date,Time,RSSI(dB),RxBt(V),mAh(mAh),Amps(A),RPM(rpm),Cap(@C),FET(@C),Volt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-02-08,15:30:00.200,108,8.0,0,0.0,0,10,10,24.71,3,11,-1024,-10,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:00.690,107,8.0,0,0.0,0,10,10,24.69,6,11,-241,-10,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:01.240,103,8.0,0,0.0,102,10,10,24.69,9,11,-221,-10,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:01.740,102,8.0,0,0.0,191,10,10,24.69,8,11,-218,-10,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:02.240,97,8.0,0,0.0,235,10,10,24.69,8,11,-218,-10,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:02.740,109,8.1,0,0.0,257,10,10,24.69,13,21,-129,-10,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:03.240,111,8.1,0,0.0,299,10,10,24.69,9,54,-173,-14,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:03.740,109,8.1,0,0.0,318,10,10,24.69,9,10,-173,-12,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:04.240,106,8.1,0,0.0,383,11,11,24.58,25,14,-211,-10,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:04.740,112,8.1,0,0.0,442,11,11,24.58,9,-2,-251,-10,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:05.250,107,8.1,0,0.0,494,12,10,24.58,21,31,-262,-12,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:05.750,108,8.0,0,0.0,542,12,11,24.55,11,28,-221,-12,1024,1023,850,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:06.250,105,8.0,0,0.0,584,13,11,24.54,9,14,-221,-10,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:06.750,103,8.0,0,0.0,631,13,11,24.54,-57,17,-213,-12,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:07.250,107,8.0,0,0.0,669,13,11,24.51,8,13,-197,-10,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:07.750,106,8.0,0,1.6,704,14,11,24.53,9,11,-189,-10,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:08.250,104,8.0,0,4.8,761,14,11,24.48,8,11,-195,-10,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:08.750,105,8.0,0,1.9,812,15,11,24.48,-14,11,-191,-8,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:09.260,104,8.0,0,0.0,859,15,11,24.43,8,11,-193,-12,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:09.760,107,8.0,1,0.0,907,15,11,24.43,8,21,-175,3,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:10.260,105,8.0,1,7.8,992,16,11,24.33,8,27,-166,-10,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:10.760,106,8.0,2,7.2,1096,16,11,24.26,9,17,-136,-6,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:11.260,106,8.0,4,9.5,1198,16,11,24.19,10,61,-107,7,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:11.760,105,8.0,6,14.2,1309,17,11,24.12,11,11,-45,-7,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:12.260,104,8.0,8,15.3,1411,18,11,24.05,10,11,-35,-1,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:12.770,104,8.0,10,16.5,1534,18,12,23.95,14,11,39,-4,1024,1023,850,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:13.280,106,8.0,13,20.3,1622,18,12,23.89,26,79,61,-10,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:13.780,104,8.0,17,20.9,1729,19,12,23.82,52,10,140,39,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:14.290,103,8.0,20,20.3,1777,19,12,23.80,17,-10,229,-6,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:14.800,104,8.0,23,18.3,1802,19,13,23.84,9,10,322,-12,1024,1023,850,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:15.300,102,8.0,26,16.8,1802,20,12,23.81,9,-20,324,54,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:15.810,99,8.0,29,17.7,1798,20,13,23.78,56,-68,306,55,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:16.310,102,8.0,32,16.2,1791,20,13,23.77,9,-60,349,-10,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:16.820,102,8.0,35,18.9,1789,20,13,23.76,-56,11,301,-12,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:17.320,96,8.0,38,19.7,1796,20,13,23.77,-188,44,325,-10,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:17.830,96,8.0,41,15.9,1805,21,13,23.73,-159,90,314,43,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:18.330,88,8.0,44,16.5,1797,21,13,23.70,-14,-72,297,-6,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:18.840,85,8.0,47,18.0,1794,21,13,23.67,77,-43,296,-99,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-02-08,15:30:19.360,90,8.0,50,18.9,1814,21,14,23.56,123,12,269,-10,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.0
2020-02-08,15:30:19.880,86,8.0,54,26.7,1887,22,14,23.49,-14,11,273,-43,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.0
2020-02-08,15:30:20.390,92,8.0,59,27.9,1947,22,14,23.39,-48,-42,281,6,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.0
2020-02-08,15:30:20.900,84,8.0,64,23.5,1974,22,14,23.41,-288,42,261,-27,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.0
2020-02-08,15:30:21.400,86,8.0,68,23.8,2009,22,14,23.46,-391,96,242,-12,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.0
2020-02-08,15:30:21.910,84,8.0,71,24.4,1982,23,14,23.39,112,90,233,36,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.0
2020-02-08,15:30:22.410,88,8.0,75,25.0,1989,23,15,23.39,6,-37,257,-7,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.0
2020-02-08,15:30:22.920,81,8.0,79,21.5,1995,23,14,23.41,10,-56,717,-4,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.0
2020-02-08,15:30:23.420,81,8.0,85,81.9,1827,24,15,21.85,11,3,1024,-90,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.0
2020-02-08,15:30:23.930,75,8.0,97,73.2,1920,24,15,21.91,22,-101,1024,-10,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.0
2020-02-08,15:30:24.440,76,8.0,108,60.9,1959,25,15,22.07,48,-459,1024,-7,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.0
2020-02-08,15:30:24.950,81,8.0,120,83.4,1919,26,15,21.32,9,-629,1017,-4,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.0
2020-02-08,15:30:25.460,86,8.0,135,95.7,2007,28,16,21.11,8,-502,26,-2,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.0
2020-02-08,15:30:25.970,69,8.0,143,26.2,2243,29,16,22.91,3,-261,-294,-12,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.0
2020-02-08,15:30:26.480,72,8.0,147,20.0,2356,30,16,23.09,-743,39,292,-163,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.0
2020-02-08,15:30:26.990,89,8.0,150,20.0,2144,30,17,23.01,-201,191,242,1024,1024,1023,849,0,0,-1024,0,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.0
