Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-12-15,09:24:20.290,5,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:20.790,5,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:21.290,5,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:21.790,5,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:22.290,5,6,-1024,-3,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:22.790,5,6,-1024,-3,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:23.290,5,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:23.790,5,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:24.290,5,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:24.790,5,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:25.290,5,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:25.790,5,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:26.290,5,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:26.790,5,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:27.290,5,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:27.790,5,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:28.290,5,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:28.790,4,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:29.290,5,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:29.790,5,6,-1024,-3,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:30.290,5,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:30.790,4,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:31.290,4,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:31.790,4,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:32.290,4,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:32.790,4,6,-1024,-3,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:33.290,4,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:33.790,5,6,-1024,-4,1024,-205,-234,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:34.290,4,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:34.790,4,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:35.290,4,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:35.790,4,6,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:36.290,5,6,-1024,-3,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:36.790,5,6,-1024,-4,1024,-205,-233,1,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:37.290,5,6,-1024,-4,1024,-205,-234,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:37.790,92,6,-999,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:38.290,5,6,-240,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:38.790,5,6,-96,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:39.290,17,142,145,104,1024,-205,-234,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:39.790,5,32,204,106,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:40.290,-43,23,324,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:40.800,-284,13,384,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:41.300,-237,24,346,-29,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:41.800,-47,-9,250,-6,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:42.300,-163,-28,231,-102,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:42.800,101,94,301,-6,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:43.300,4,-37,298,-10,1024,-205,-234,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:43.800,5,-957,722,147,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:44.300,5,-273,185,-6,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:44.800,-10,-445,-503,-6,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:45.300,0,-547,-590,1,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:45.800,5,-533,-25,-6,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:46.300,8,-494,473,109,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:46.800,5,-588,162,19,1024,-205,-234,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:47.300,4,-453,-21,1,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:47.800,5,-351,-361,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:48.300,17,-529,-516,-15,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:48.800,5,-560,174,-7,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:49.300,5,850,658,-8,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:49.800,4,600,530,-35,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:50.300,5,252,-344,-6,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:50.800,5,9,-127,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:51.300,4,6,-125,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:51.800,4,5,-125,-3,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:52.300,4,5,-125,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:52.800,5,5,-125,-3,1024,-205,-234,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:53.300,5,5,-125,-4,1024,-205,-234,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:53.800,5,6,-125,-3,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:54.300,5,5,-125,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:54.800,5,5,-125,-3,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:55.300,5,5,-125,-3,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:55.800,4,5,-125,-3,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:56.300,4,6,-125,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:56.800,4,5,-125,-3,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:57.300,4,6,-125,-3,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:57.800,4,5,-125,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:58.300,4,5,-125,-3,1024,-205,-234,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:58.800,4,6,-125,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:59.300,4,5,-125,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:59.800,4,5,-125,-4,1024,-205,-234,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:00.300,5,5,-125,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:00.800,4,6,-127,-3,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:01.300,4,6,-125,-3,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:01.800,4,5,-125,-3,1024,-205,-233,5,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:02.300,5,5,-125,-3,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:02.800,4,6,-314,-3,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:03.300,5,5,32,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:03.800,4,6,32,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:04.300,5,18,44,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:04.800,26,62,80,-6,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:05.300,5,73,82,-6,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:05.800,4,6,79,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:06.300,5,8,53,-6,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
