Date,Time,RSSI(dB),mAh(mAh),Volt(V),Amps(A),RPM(rpm),FET(@C),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-05-10,09:56:34.890,103,3,24.40,0.3,0,20,-25,4,603,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,1,-1,1,1,0x000000000000000C,8.2
2020-05-10,09:56:34.940,103,3,24.40,0.3,0,20,14,4,603,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,1,-1,1,1,0x000000000000000C,8.2
2020-05-10,09:56:35.060,103,3,24.40,0.2,0,20,2,4,622,-4,-1024,614,156,0,0,0,544,-1,-1,1,-1,0,-1,1,1,0x000000000000000A,8.2
2020-05-10,09:56:35.190,103,3,24.40,0.3,0,20,-103,4,206,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:35.320,105,3,24.40,0.3,0,20,-5,4,188,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:35.430,105,3,24.40,0.3,122,20,8,4,187,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:35.560,105,3,24.40,0.4,122,20,4,4,187,-4,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:35.670,105,3,24.40,0.7,107,20,3,4,187,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:35.790,107,3,24.40,0.7,107,20,2,4,187,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:35.900,107,3,24.40,1.4,0,20,2,4,187,-4,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:36.030,107,3,24.40,0.8,22,20,2,4,187,-4,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:36.160,107,3,24.40,0.8,114,20,2,4,187,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:36.280,98,3,24.40,0.8,114,20,2,4,187,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:36.410,98,3,24.40,0.8,161,20,2,4,187,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:36.530,98,3,24.40,0.7,194,20,2,4,187,-4,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:36.650,98,3,24.40,0.7,194,20,2,4,187,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:36.760,98,3,24.40,0.7,222,20,2,4,187,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:36.880,98,3,24.40,0.8,253,20,2,4,187,-4,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:36.990,98,3,24.40,0.8,253,20,2,4,187,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:37.110,102,3,24.40,0.8,282,20,2,4,187,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:37.220,102,3,24.40,0.7,304,20,2,4,187,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:37.340,102,3,24.40,0.7,335,20,2,4,187,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:37.450,102,3,24.40,0.7,335,20,2,4,187,-4,-1024,614,155,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:37.570,98,3,24.40,0.9,363,20,2,4,187,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:37.680,98,3,24.40,1.0,386,20,2,4,187,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:37.800,98,3,24.40,1.0,386,20,2,4,187,-4,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:37.910,98,3,24.40,1.0,420,20,2,4,187,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:38.030,101,3,24.40,1.2,447,20,2,4,187,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:38.150,101,4,24.40,1.2,447,20,2,4,187,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:38.260,101,4,24.40,1.2,477,20,2,4,187,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:38.380,100,4,24.40,1.3,504,20,2,4,187,-4,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:38.490,100,4,24.40,1.3,504,20,2,4,187,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:38.610,100,4,24.40,1.3,538,20,2,4,187,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:38.720,100,4,24.40,1.3,568,21,2,4,187,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:38.840,98,4,24.40,1.3,568,21,2,4,187,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:38.950,98,4,24.40,1.3,597,21,2,4,187,-4,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:39.070,98,4,24.40,1.4,626,21,2,4,187,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:39.190,98,4,24.40,1.4,626,21,2,4,187,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:39.300,96,4,24.40,1.4,656,21,2,4,187,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:39.410,96,4,24.40,1.6,686,21,2,4,187,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:39.530,96,4,24.40,1.8,686,21,2,4,187,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:39.650,96,4,24.40,1.8,714,21,2,4,187,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:39.760,99,4,24.40,1.7,743,21,2,4,187,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:39.870,99,4,24.40,1.8,767,21,36,4,187,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2020-05-10,09:56:39.990,99,4,24.40,1.8,767,21,30,4,187,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:40.110,99,4,24.40,1.9,799,21,3,4,187,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:40.220,100,4,24.40,1.9,826,21,3,4,188,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:40.340,100,5,24.40,1.9,826,21,2,4,139,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:40.450,100,5,24.40,2.0,856,21,-47,4,91,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:40.570,100,5,24.30,2.3,879,21,3,4,91,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:40.680,101,5,24.40,2.3,879,21,3,4,91,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:40.800,101,5,24.40,2.2,911,21,2,4,91,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:40.920,101,5,24.30,2.3,939,21,2,4,168,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:41.030,98,5,24.30,2.3,939,21,2,1,172,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:41.150,98,5,24.30,2.5,969,21,2,2,174,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:41.260,98,5,24.30,2.4,991,21,-28,2,175,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:41.380,98,5,24.30,2.4,991,21,-51,3,175,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:41.490,100,5,24.30,2.4,1021,21,-3,3,175,-4,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:41.610,100,5,24.30,2.6,1053,21,0,4,175,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:41.720,100,5,24.30,2.8,1053,21,1,-10,175,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:41.840,100,6,24.30,2.8,1087,21,2,3,175,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:41.960,97,6,24.30,2.8,1115,21,2,4,175,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:42.070,97,6,24.30,2.8,1115,21,2,3,175,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:42.180,97,6,24.30,2.8,1143,21,-12,4,175,77,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:42.300,97,6,24.30,2.9,1173,21,-17,4,175,56,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:42.420,95,6,24.30,3.1,1198,21,0,4,175,-1,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:42.530,95,6,24.30,3.1,1198,21,2,4,175,-2,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:42.650,95,6,24.30,3.1,1225,21,1,5,174,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:42.770,95,6,24.30,3.1,1254,21,29,4,174,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:42.880,99,6,24.30,3.1,1254,21,3,4,174,10,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:42.990,99,6,24.30,3.3,1281,21,-39,4,173,95,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:43.110,99,7,24.30,3.4,1321,21,-70,4,173,91,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:43.230,97,7,24.30,3.4,1321,22,-31,4,173,1,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:43.340,97,7,24.30,4.6,1378,22,-1,4,173,-1,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:43.450,97,7,24.30,4.7,1428,22,1,4,173,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:43.570,97,7,24.20,4.7,1428,22,4,4,174,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:43.690,97,7,24.20,4.8,1484,22,16,48,250,-3,-1024,614,156,0,0,-1,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:43.800,97,7,24.20,5.1,1540,22,1,80,333,-2,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-10,09:56:43.920,97,8,24.20,5.4,1540,22,-8,80,362,-3,-1024,614,156,0,0,0,544,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
