Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-12-13,07:28:10.330,8,9,-512,-6,-293,-205,-10,0,-1005,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2019-12-13,07:28:10.810,8,9,-512,-6,-293,-205,-10,0,-1003,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2019-12-13,07:28:11.310,8,110,-510,-6,-293,-205,-10,0,-1003,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2019-12-13,07:28:11.810,8,9,-510,-6,-293,-205,-10,-1,-1003,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.6
2019-12-13,07:28:12.310,8,9,-510,-7,-293,-205,-10,0,-1003,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2019-12-13,07:28:12.810,49,9,-1024,-7,-293,-205,-10,-1,-1003,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2019-12-13,07:28:13.310,9,9,-114,-7,-293,-205,-10,0,-1003,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2019-12-13,07:28:13.810,8,9,-355,-6,-293,-205,-10,0,-1003,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2019-12-13,07:28:14.310,-24,9,-24,-7,-293,-205,-10,-1,-1003,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2019-12-13,07:28:14.810,6,9,36,-6,-293,-205,-11,0,-1003,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2019-12-13,07:28:15.310,5,9,37,-6,-293,-205,-10,0,-1003,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2019-12-13,07:28:15.810,8,10,248,-4,-293,-205,-10,-1,-1003,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2019-12-13,07:28:16.310,-452,9,281,66,-293,-205,-10,-1,-1003,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2019-12-13,07:28:16.810,-154,-473,471,15,-293,-205,-10,-1,-1003,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2019-12-13,07:28:17.310,-9,-628,301,67,-293,-205,-10,-1,-1003,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2019-12-13,07:28:17.810,-2,-457,-692,-33,-293,-205,-10,-1,-1003,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2019-12-13,07:28:18.310,41,-329,-1024,-8,-293,-205,-10,-1,-1003,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
