Date,Time,RSSI(dB),RxBt(V),mAh(mAh),Volt(V),Amps(A),RPM(rpm),FET(@C),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-09-19,00:03:49.600,83,8.2,18,22.70,0.6,0,25,4,9,-1024,-7,1024,-615,-23,0,0,-1,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.7
2020-09-19,00:03:49.650,83,8.2,18,22.70,0.4,0,25,114,9,-1024,-7,1024,-615,-23,0,0,-1,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.7
2020-09-19,00:03:49.770,86,8.2,18,22.70,0.4,0,25,2,9,-1024,-7,1024,-615,-23,0,0,-1,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.7
2020-09-19,00:03:49.920,86,8.2,18,22.70,0.4,0,25,4,9,-1024,-7,1024,-615,-23,0,0,-1,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.7
2020-09-19,00:03:50.030,86,8.2,18,22.80,0.0,0,25,90,9,-1008,-7,1024,-615,-23,0,0,-1,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.7
2020-09-19,00:03:50.170,86,8.2,18,22.80,0.7,0,25,5,9,-449,-7,1024,-615,-22,0,0,-1,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.7
2020-09-19,00:03:50.280,87,8.2,18,22.70,0.7,0,25,6,9,-336,-7,1024,-615,-22,0,0,-1,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.7
2020-09-19,00:03:50.400,87,8.2,18,22.70,2.7,0,25,10,9,-19,-7,1024,-615,-22,0,0,-2,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.7
2020-09-19,00:03:50.510,87,8.2,18,22.70,1.2,0,25,8,9,-18,-7,1024,-615,-23,0,0,-1,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.7
2020-09-19,00:03:50.630,87,8.2,18,22.70,0.5,0,25,6,9,-18,-7,1024,-615,-23,0,0,-1,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.7
2020-09-19,00:03:50.740,93,8.2,18,22.70,0.5,0,25,5,9,-18,-7,1024,-615,-23,0,0,-1,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.7
2020-09-19,00:03:50.860,93,8.2,18,22.80,0.4,0,25,5,9,-18,-7,1024,-615,-23,0,0,-1,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.7
2020-09-19,00:03:50.970,93,8.2,18,22.80,0.9,0,25,5,9,-17,-7,1024,-615,-23,0,0,-1,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.7
2020-09-19,00:03:51.090,93,8.2,18,22.80,0.9,0,25,5,9,-18,-7,1024,-615,-23,0,0,-1,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.7
2020-09-19,00:03:51.200,91,8.2,18,22.80,0.7,0,25,5,8,-17,-7,1024,-615,-23,0,0,-1,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.7
2020-09-19,00:03:51.320,91,8.2,19,22.70,0.4,0,25,5,9,-17,-7,1024,-615,-23,0,0,-1,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.7
2020-09-19,00:03:51.430,91,8.2,19,22.70,0.4,0,25,5,9,-18,-7,1024,-615,-23,0,0,-1,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.7
