Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
1970-01-01,00:06:52.200,1,1,-293,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:52.700,1,2,-293,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:53.200,0,2,-294,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:53.700,1,1,-293,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:54.200,1,1,-294,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:54.700,1,2,-294,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:55.200,1,2,-294,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:55.700,1,1,-293,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:56.200,0,1,-293,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:56.700,1,1,-294,1,1024,204,277,-1,-1,-1,-1,1,-1,1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:57.200,0,1,-294,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:57.700,0,2,-293,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:58.200,0,1,-294,1,1024,204,277,0,-1,-1,-1,1,-1,1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:58.700,1,2,-294,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:59.200,1,1,-293,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:59.700,0,1,-293,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:00.200,1,1,-293,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:00.700,18,2,-223,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
