Date,Time,RSSI(dB),RxBt(V),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-12-05,12:40:20.960,97,8.1,0,2,2,-315,-1,810,-205,903,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:40:21.450,95,8.1,0,1,1,-315,-1,810,-205,903,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:40:21.950,92,8.1,0,2,2,-279,-1,810,-205,903,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:40:22.450,94,8.1,0,1,1,-279,-1,809,-205,903,-2,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:40:22.950,97,8.1,19,1,2,-279,-1,810,-205,903,-2,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:40:23.450,95,8.1,57,1,2,-278,-1,809,-205,903,-2,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:40:23.950,94,8.1,93,1,1,-278,-1,809,-205,903,-2,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:40:24.450,97,8.1,133,1,2,-261,-1,810,-205,903,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:40:24.950,96,8.1,169,1,1,-241,-2,810,-205,903,-2,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:40:25.450,95,8.1,199,1,17,-239,-6,810,-205,903,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:40:25.950,95,8.1,237,1,2,-215,-1,810,-205,903,-2,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:40:26.450,95,8.1,271,1,3,-207,-2,810,-205,903,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
