Date,Time,RSSI(dB),RxBt(V),VFAS(V),Curr(A),RPM(rpm),Tmp1(@C),Tmp2(@C),RB1C(mAh),RB2C(mAh),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2000-01-01,01:23:43.090,93,8.1,0.00,0.0,1800,0,0,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:43.590,93,8.1,0.00,0.0,1798,0,0,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:44.090,94,8.1,0.00,0.0,1799,0,0,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:44.590,92,8.1,0.00,0.0,1798,0,0,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:45.090,92,8.1,0.00,0.0,1800,0,0,0,0,0,2,-1024,1,-1024,614,0,-1,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:45.590,93,8.1,0.00,0.0,1801,0,0,0,0,-1,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:46.090,92,8.1,0.00,0.0,1800,0,0,0,0,-1,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:46.590,92,8.1,0.00,0.0,1802,0,0,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:47.090,92,8.1,0.00,0.0,1800,0,0,0,0,0,2,-1024,1,-1024,614,0,-1,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:47.590,91,8.1,0.00,0.0,1798,0,0,0,0,-1,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:48.090,90,8.1,0.00,0.0,1803,0,0,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:48.590,92,8.1,0.00,0.0,1800,0,0,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:49.090,90,8.1,0.00,0.0,1805,0,0,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:49.590,90,8.1,0.00,0.0,1794,0,0,0,0,-1,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:50.090,91,8.1,0.00,0.0,1804,0,0,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:50.590,92,8.1,0.00,0.0,1799,0,0,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:51.090,90,8.1,0.00,0.0,1800,0,0,0,0,-1,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:51.590,90,8.1,0.00,0.0,1800,0,0,0,0,0,2,-1024,1,-1024,614,0,-1,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:56.200,90,8.1,0.00,0.0,936,0,0,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:56.690,91,8.1,0.00,0.0,860,0,0,0,0,0,2,-1024,1,-1024,614,0,-1,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:57.190,90,8.1,0.00,0.0,833,0,0,0,0,-1,2,-1024,1,-1024,614,0,-1,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:57.690,91,8.1,0.00,0.0,835,0,0,0,0,0,2,-1024,1,-1024,614,0,-1,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:58.190,90,8.1,0.00,0.0,865,0,0,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:58.690,90,8.1,0.00,0.0,908,0,0,0,0,0,2,-1024,1,-1024,614,0,-1,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:59.190,90,8.1,0.00,0.0,955,0,0,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:59.690,91,8.1,0.00,0.0,994,0,0,0,0,0,2,-1024,1,-1024,614,0,-1,-991,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:24:00.190,90,8.1,0.00,0.0,1033,0,0,0,0,0,2,-1024,1,-1024,614,0,-1,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:24:00.690,90,8.1,0.00,0.0,1071,0,0,0,0,-1,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:24:01.190,89,8.1,0.00,0.0,1102,0,0,0,0,0,2,-1024,1,-1024,614,0,-1,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:24:01.690,90,8.1,0.00,0.0,1137,0,0,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:24:02.190,89,8.1,0.00,0.0,1174,0,0,0,0,0,2,-1024,1,-1024,614,1,-1,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:24:07.300,92,8.1,0.00,0.0,140,0,0,0,0,0,2,-1024,1,-1024,614,1,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:24:07.790,93,8.1,0.00,0.0,0,0,0,0,0,-1,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:24:08.290,92,8.1,0.00,0.0,0,0,0,0,0,0,2,-1024,1,-1024,614,0,-1,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:24:08.790,93,8.1,0.00,0.0,180,0,0,0,0,0,2,-1024,1,-1024,614,1,-1,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:24:09.290,93,8.1,0.00,0.0,217,0,0,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:24:09.790,92,8.1,0.00,0.0,244,0,0,0,0,0,2,-1024,1,-1024,614,0,-1,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:29:13.830,90,8.1,22.76,0.0,0,26,26,0,0,-1,2,-1024,1,-1024,614,1,-1,-994,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:14.330,92,8.1,22.75,0.0,0,26,26,0,0,-1,2,-1024,0,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:14.830,89,8.1,22.77,0.0,29,26,26,0,0,-1,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:15.330,91,8.1,22.77,0.0,189,26,26,0,0,-1,2,-1024,1,-1024,614,0,-1,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:15.840,89,8.1,22.77,0.0,220,26,26,0,0,0,2,-1024,1,-1024,614,0,-1,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:16.340,91,8.1,22.77,0.0,246,26,26,0,0,-1,2,-1024,1,-1024,614,0,-1,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:16.840,91,8.1,22.77,0.0,272,26,26,0,0,-1,2,-1024,0,-1024,614,1,-1,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:17.340,90,8.1,22.77,0.0,300,26,26,0,0,-1,2,-1024,1,-1024,614,0,-1,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:17.840,91,8.1,22.77,0.0,388,26,26,0,0,-1,2,-1024,1,-1024,614,0,-1,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:18.340,90,8.1,22.70,0.0,677,26,26,0,0,-1,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:18.840,91,8.1,22.69,0.0,851,26,26,0,0,0,2,-1024,0,-1024,614,1,-2,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:19.340,90,8.1,22.69,0.0,967,27,26,0,0,0,2,-1024,1,-1024,614,1,-2,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
