Date,Time,RSSI(dB),RxBt(V),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-12-07,16:20:58.010,79,7.9,1946,-492,320,144,-584,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:20:58.510,75,7.9,1912,-244,494,815,935,1024,-205,270,-2,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:20:59.010,85,7.9,1737,-439,-816,-81,717,1024,-205,269,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:20:59.510,82,7.9,1719,-962,451,-485,-516,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:00.010,82,7.9,1782,-96,-341,538,695,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:00.510,88,7.9,1682,-175,-91,397,870,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:01.010,86,7.9,1846,-202,-82,21,-7,1024,-205,270,-2,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:01.510,79,7.9,2012,-119,-206,-136,-95,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:02.010,80,7.9,2034,-82,1,-197,-102,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:02.510,79,7.9,2058,-41,40,-245,-22,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:03.010,82,7.9,2046,-82,-7,-263,-61,1024,-205,270,-2,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:03.510,83,7.9,2017,-150,-177,-397,-81,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:04.010,88,7.9,1945,-106,-209,-344,-167,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:04.510,91,7.9,1900,-41,-161,-279,-197,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:05.010,84,7.9,1872,-141,-384,-439,38,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:05.510,83,7.9,1822,-67,-308,-251,-24,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:06.010,76,7.9,1854,-81,-396,-284,-4,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:06.510,81,7.9,1857,-109,-455,-317,29,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:07.010,81,7.9,1841,-111,-389,-376,90,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:07.510,80,7.9,1802,-2,-276,-636,-389,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:08.010,86,7.9,1901,-733,226,575,-645,1024,-205,270,-2,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:08.510,85,7.9,1839,-440,-205,30,782,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:09.010,73,7.9,1853,-964,452,-751,-896,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:09.510,78,7.9,1855,-782,152,-130,-50,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:10.010,79,7.9,1947,0,338,56,-3,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:10.510,86,7.9,1849,-21,524,845,794,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:11.010,89,7.9,1692,-237,-166,128,568,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:11.510,84,7.9,1711,-438,-1018,-212,172,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:12.010,83,7.9,1876,-650,362,122,354,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:12.510,79,7.9,1739,2,40,846,945,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:13.010,91,7.9,1720,-400,-325,264,311,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:13.510,82,7.9,1884,-154,-39,-180,-180,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:14.010,86,7.9,1892,-1000,449,-455,96,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:14.510,80,7.9,1868,-587,247,941,-405,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:15.010,82,7.9,1711,3,-251,-457,33,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:15.510,88,7.9,1745,4,478,194,-193,1024,-205,270,-2,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:16.010,85,7.9,1810,3,-372,-350,140,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:16.510,91,7.9,1776,4,-42,575,-3,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:17.010,83,7.9,1908,-620,231,-755,56,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:17.510,90,7.9,1843,136,12,433,-947,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:18.010,88,7.9,1887,-407,-588,-37,348,1024,-205,270,-2,0,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:18.510,78,7.9,1878,-470,-423,-806,131,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:19.010,79,7.9,1897,-165,-128,204,958,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:19.510,83,7.9,1849,3,-128,658,-118,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:20.010,87,7.9,1881,-653,225,-568,984,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:20.510,84,7.9,1852,-561,-179,-773,50,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:21.010,78,7.9,1852,1,802,219,-66,1024,-205,269,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:21.510,84,7.9,1915,48,112,680,-681,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:22.010,87,7.9,1827,-544,338,-745,-636,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:22.510,79,7.9,1757,1,-937,163,184,1024,-205,270,-2,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:23.010,81,7.9,1794,-291,140,249,1024,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:23.510,87,7.9,1782,-353,71,-753,-192,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:24.010,87,7.9,1847,-85,-138,744,-25,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:24.510,83,7.9,1792,-451,-481,-855,92,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:25.010,85,7.9,1777,-2,-91,844,219,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:25.510,81,7.9,1741,-683,-249,-584,176,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:26.010,82,7.9,1765,-747,-233,-147,758,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:26.510,90,7.9,1877,-230,-45,442,-303,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:27.010,82,7.9,2043,-438,1,280,-71,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:27.510,91,7.9,2100,-178,-183,213,-279,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:28.010,79,7.9,1285,-63,170,493,273,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:28.510,83,7.9,932,3,86,634,-251,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:29.010,85,7.9,893,3,-71,550,59,1024,-205,270,0,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:29.510,88,7.9,843,3,6,703,135,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:30.010,90,7.9,780,3,-52,675,-114,1024,-205,269,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:30.510,90,7.9,717,3,100,821,122,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:31.010,87,7.9,648,3,4,687,-3,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:21:31.510,80,7.9,613,3,4,686,-3,1024,-205,270,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:23:41.130,95,7.9,0,3,5,-25,-2,1024,-205,286,-2,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
