Date,Time,RSSI(dB),RxBt(V),mAh(mAh),Volt(V),Amps(A),RPM(rpm),FET(@C),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-09-04,16:06:14.120,77,8.1,12,50.00,0.7,0,33,-7,-5,415,7,1024,204,142,0,0,962,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.1
2020-09-04,16:06:14.170,77,8.1,12,50.00,0.7,0,33,-7,-5,415,7,1024,204,142,0,0,961,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.1
2020-09-04,16:06:14.270,79,8.1,12,50.00,0.5,0,33,-7,-5,415,7,1024,204,142,0,0,962,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.1
2020-09-04,16:06:14.400,79,8.1,12,50.00,0.2,0,33,-7,-5,415,7,1024,204,142,0,0,961,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.1
2020-09-04,16:06:14.500,79,8.1,12,50.00,0.2,0,33,-7,-5,415,7,1024,204,142,0,0,962,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.1
2020-09-04,16:06:14.600,79,8.1,12,50.00,2.8,0,33,18,-5,455,7,1024,204,142,0,0,962,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.1
2020-09-04,16:06:14.700,77,8.1,12,50.00,0.8,0,33,-2,-5,485,7,1024,204,142,0,0,961,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.1
2020-09-04,16:06:14.820,77,8.1,12,50.00,0.8,0,33,-4,-5,485,7,1024,204,142,0,0,962,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.1
2020-09-04,16:06:14.920,77,8.1,12,50.00,1.1,0,33,-5,-5,485,7,1024,204,142,0,0,961,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.1
2020-09-04,16:06:15.020,77,8.1,12,50.00,0.8,0,33,-5,-5,485,7,1024,204,142,0,0,961,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.1
2020-09-04,16:06:15.120,77,8.1,12,50.00,0.8,10,33,-5,-5,485,7,1024,204,142,0,0,961,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.1
2020-09-04,16:06:15.220,77,8.1,12,50.00,0.9,42,33,-7,-5,259,7,1024,204,142,0,0,961,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.1
2020-09-04,16:06:15.320,77,8.1,12,50.00,0.9,42,33,-17,-5,110,7,1024,204,142,0,0,961,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.1
