Date,Time,RSSI(dB),RxBt(V),A2(V),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-02-16,14:53:02.140,87,8.1,12.1,942,-1,0,-80,0,1024,1023,361,0,0,-3,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:53:02.640,81,8.0,12.1,971,-1,0,-78,0,1024,1023,362,0,0,-3,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:53:03.140,87,8.0,12.1,1096,-1,0,-78,1,1024,1023,171,0,0,-3,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:53:03.640,83,8.0,12.2,1120,-2,0,-78,1,1024,1023,-26,0,0,-2,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:53:04.140,84,8.0,12.2,1212,-1,0,-36,1,1024,1023,-25,0,0,-2,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:53:04.640,88,8.0,12.1,1258,0,0,10,0,1024,1023,-25,0,0,-2,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:53:05.140,86,8.0,12.1,1373,-1,0,42,-1,1024,1023,-25,0,0,-2,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:53:05.640,85,8.0,12.1,1440,-1,0,91,0,1024,1023,-25,0,0,-2,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:53:06.140,84,8.0,12.1,1575,-42,0,129,3,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:53:06.640,86,8.0,12.1,1673,-15,4,324,27,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:53:07.140,82,8.0,12.1,1714,-30,0,468,-19,1024,1023,-25,0,0,-3,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:53:07.640,87,8.0,12.2,1696,-1,-3,421,72,1024,1023,-25,0,0,-2,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:53:08.140,89,8.0,12.2,1745,-2,-69,457,15,1024,1023,-25,0,0,-2,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:53:08.640,84,8.0,12.2,1753,-1,-21,549,4,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:53:09.140,85,8.0,12.1,1759,-1,25,407,1,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:53:09.640,86,7.9,12.1,1824,-1,0,396,1,1024,1023,-25,0,0,-3,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:53:10.140,84,7.9,12.1,1858,-131,9,431,1,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:53:10.640,85,7.9,12.1,2024,0,-1,347,1,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:53:11.140,85,7.9,12.1,2131,1,1,388,7,1024,1023,-25,0,0,-2,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:53:11.640,83,7.9,12.1,2178,57,-20,345,25,1024,1023,-25,0,0,-2,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-02-16,14:53:12.140,82,7.9,12.1,2248,11,-25,339,20,1024,1023,-25,0,0,-3,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-02-16,14:53:12.640,88,7.9,12.1,2318,17,-1,373,-30,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
2020-02-16,14:53:13.150,84,7.9,12.2,2420,-1,48,230,-2,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
2020-02-16,14:53:13.650,82,7.9,12.1,2574,-1,47,294,-39,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
2020-02-16,14:53:14.150,76,7.9,12.1,2555,-2,-134,304,12,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-02-16,14:53:14.650,82,7.9,12.1,2577,-54,-7,265,67,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-02-16,14:53:15.150,84,7.9,12.1,2681,-303,46,264,0,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-02-16,14:53:15.650,95,7.9,12.1,2705,-4,24,284,129,1024,1023,-25,0,0,-2,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-02-16,14:53:16.150,93,7.9,12.1,2751,0,78,252,-29,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-02-16,14:53:16.650,89,7.9,12.1,2734,34,-590,1024,54,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-02-16,14:53:17.150,88,7.9,12.1,2246,-1,-407,849,-4,1024,1023,-25,0,0,-2,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-02-16,14:53:17.650,87,7.9,12.2,2377,0,-441,581,0,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-02-16,14:53:18.150,83,7.9,12.1,2734,11,-267,-771,-1,1024,1023,-25,0,0,-2,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-02-16,14:53:18.650,79,7.9,12.1,2572,42,-189,355,-6,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-02-16,14:53:19.150,84,7.9,12.1,3034,-1012,201,10,-198,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-02-16,14:53:19.650,72,7.9,12.1,2912,-88,-280,166,0,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-02-16,14:53:20.150,73,7.9,12.1,2798,-36,-125,281,14,1024,1023,-25,0,0,-2,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-02-16,14:53:20.650,81,7.8,12.1,2745,-2,-579,916,153,1024,1023,-25,0,0,-2,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-02-16,14:53:21.150,85,7.8,12.1,2432,-137,-674,-355,-32,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-02-16,14:53:21.650,72,7.8,12.1,2491,-996,-108,-491,172,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-02-16,14:53:22.150,73,7.9,12.1,2812,-831,244,-101,-2,1024,1023,-25,0,0,-3,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-02-16,14:53:22.650,82,7.9,12.1,2864,-134,-248,-19,-113,1024,1023,-25,0,0,-2,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-02-16,14:53:23.150,85,7.9,12.1,2513,-648,-108,502,376,1024,1023,-25,0,0,-2,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-02-16,14:53:23.650,88,7.9,12.1,2353,-4,-518,603,-4,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-02-16,14:53:24.150,90,7.9,12.1,2665,-56,742,-395,-110,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-02-16,14:53:24.650,83,7.9,12.1,2458,3,570,-582,-105,1024,1023,-25,0,0,-3,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-02-16,14:53:25.150,92,7.9,12.1,2483,2,-173,-426,6,1024,1023,-25,0,0,-2,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
