Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-12-06,09:40:30.790,6,8,-1024,-7,721,-205,-1024,0,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.0
2019-12-06,09:40:31.280,6,8,-1024,-7,721,-205,-1024,0,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.0
2019-12-06,09:40:31.780,6,8,-1024,-7,721,-205,-1024,0,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.0
2019-12-06,09:40:32.280,6,9,-1024,-7,721,-205,-1024,0,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.0
2019-12-06,09:40:33.880,6,8,-1024,-7,721,-205,-1024,0,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.0
2019-12-06,09:40:34.380,6,8,-1024,-7,722,-205,-1024,0,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.0
2019-12-06,09:40:34.880,6,8,-1024,-7,721,-205,-1024,0,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.0
2019-12-06,09:40:35.380,6,8,-1024,-7,721,-205,-1024,0,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.0
2019-12-06,09:40:35.880,6,8,-1024,-7,721,-205,-1024,0,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.0
