Date,Time,RSSI(dB),RxBt(V),Amps(A),RPM(rpm),FET(@C),mAh(mAh),Volt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-05-14,08:55:49.830,85,8.2,0.0,0,0,0,0.00,-2,1,-1024,1,1024,1023,629,0,0,1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:49.880,85,8.2,0.0,0,0,0,0.00,-2,0,-1024,1,1024,1023,629,0,0,1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:49.990,85,8.2,0.0,0,0,0,0.00,-2,1,-1024,1,1024,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:50.100,85,8.2,0.0,0,0,0,0.00,14,0,-601,1,1024,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:50.210,83,8.2,0.0,0,0,0,0.00,-1,0,-351,1,1024,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:50.320,83,8.2,0.0,0,0,0,0.00,12,1,-348,1,1024,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:50.430,83,8.2,0.0,0,0,0,0.00,-2,0,-348,1,1024,1023,629,0,0,1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:50.540,83,8.2,0.0,0,0,0,0.00,-2,0,-347,1,1024,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:50.650,83,8.2,0.0,0,0,0,0.00,-2,1,-347,1,1024,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:50.760,83,8.2,0.0,0,0,0,0.00,-1,0,-347,1,1024,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:50.870,83,8.2,0.0,0,0,0,0.00,-2,0,-347,1,1024,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:50.980,83,8.2,0.0,0,0,0,0.00,-1,1,-347,1,1024,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:51.090,83,8.2,0.0,0,0,0,0.00,-1,0,-347,1,1024,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:51.200,83,8.2,0.0,0,0,0,0.00,-1,1,-347,1,1024,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:51.310,83,8.2,0.0,0,0,0,0.00,-2,0,-389,1,1024,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:51.420,83,8.2,0.0,0,0,0,0.00,-1,0,-404,1,1024,1023,629,0,0,1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:51.530,86,8.2,0.0,0,0,0,0.00,-1,36,-404,0,1024,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:51.640,86,8.2,0.0,0,0,0,0.00,75,0,-376,0,1024,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:51.750,86,8.2,0.0,0,0,0,0.00,8,86,-267,-15,1024,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:51.870,86,8.2,0.0,0,0,0,0.00,1,117,-237,0,1024,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:51.970,87,8.2,0.0,0,0,0,0.00,19,6,-237,0,1024,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-14,08:55:52.080,87,8.2,0.0,0,0,0,0.00,3,3,-218,-1,1024,1023,629,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
